Ensembl_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000005.6,154.19848230725887,-3.492145520936647,0.252358976862185,-13.838007921722285,1.503147606638437e-43,1.5074781304483126e-42
ENSG00000000971.16,3464.9013844546457,-1.415736771344787,0.10226982648969013,-13.843152178296773,1.39933052068467e-43,1.405493100046835e-42
ENSG00000003096.14,734.1449260665364,-2.590734466582512,0.15354680284001324,-16.872604435026272,7.156999218646665e-64,1.3466968088799157e-62
ENSG00000003137.8,457.99097045194367,-2.1149677635511583,0.13850752001856115,-15.269696282683679,1.21738751122075e-52,1.6576018526431375e-51
ENSG00000003436.16,1523.5582833656883,-1.704885901460462,0.12794923520439191,-13.324705682976534,1.6628726465703682e-40,1.4963591407369272e-39
ENSG00000004776.13,403.89322135185733,-4.461315353799477,0.16968419475337368,-26.291873325525366,2.375338548228374e-152,3.6749682240894655e-150
ENSG00000004799.8,5871.785113277464,-3.6048907433972843,0.15367230053774125,-23.458298800647803,1.0877161562197714e-121,9.282780202887184e-120
ENSG00000004846.16,56.98108147499927,-3.552436463298302,0.19945038948060742,-17.81112823368894,5.793024763436922e-71,1.369618079906052e-69
ENSG00000004939.15,5.317352795461081,-2.1200593426260923,0.21546314663014893,-9.839545072017623,7.605395523872599e-23,3.354031404893707e-22
ENSG00000004948.16,35.80548243255949,-1.4277438832579952,0.17446383985056405,-8.183609190769392,2.7546644326177164e-16,8.97018488664667e-16
ENSG00000005020.13,1990.8631171394538,-1.174517828675944,0.08125760841810924,-14.454250519317384,2.3568123884439406e-47,2.6992133570854066e-46
ENSG00000005102.14,467.89989018431805,-2.6624957288308586,0.1651082646673031,-16.125756843219495,1.6818596008037598e-58,2.7032367921545726e-57
ENSG00000005108.16,361.8812225802647,-1.2465006889029695,0.10871924472737533,-11.465317773579995,1.9703501149405207e-30,1.209456673802005e-29
ENSG00000005187.12,261.4672054946574,-1.676770008812422,0.12990887022818257,-12.90727881681371,4.0951878495504226e-38,3.4016417503204386e-37
ENSG00000005249.13,4584.304947945867,-2.490905943542139,0.11636207139860484,-21.406510846729432,1.1619319734242201e-101,6.235308780712204e-100
ENSG00000005381.8,16.951674016061062,-1.0377801820003307,0.14694109079806753,-7.0625593995793245,1.634634015919549e-12,4.382435906482326e-12
ENSG00000005810.18,4475.295779361378,-1.1493999458988478,0.07609108508867847,-15.105579642599498,1.4879219897116445e-51,1.9623361993923863e-50
ENSG00000005981.13,16.644077621621776,-1.3062683511278042,0.19848149686736896,-6.581310458378346,4.663197118248236e-11,1.1516947625128392e-10
ENSG00000006128.12,42.134799908990246,-1.4667120502167506,0.24474319685906204,-5.992861370775393,2.06180605214477e-09,4.617545680994828e-09
ENSG00000006210.7,5660.470055939372,-2.3704950403246086,0.1421316481103746,-16.678164728546335,1.889347267112622e-62,3.391083534513673e-61
ENSG00000006283.18,97.0101097863973,-1.1058339103694554,0.16628474048526962,-6.650242873412766,2.9260976549811475e-11,7.303787108234856e-11
ENSG00000006468.14,893.8308825935526,-1.030381976619,0.10519732266093226,-9.794754757590985,1.1858483463846204e-22,5.177030338605861e-22
ENSG00000007174.18,61.68184859710227,-1.571493048602046,0.18323713142089432,-8.576280562875317,9.799035288368974e-18,3.399020290928144e-17
ENSG00000007216.15,408.027332859472,-1.783565042884452,0.23854349983115702,-7.476896432503395,7.609833878956822e-14,2.1805021672444674e-13
ENSG00000007237.19,2985.8140506728173,-1.087422516665143,0.10168483931516983,-10.6940476475033,1.0852881170346384e-26,5.673262680155778e-26
ENSG00000007314.12,249.1511413961588,-3.6001246284561916,0.15193926767260976,-23.694497700314965,4.108809721207302e-124,3.735486941039876e-122
ENSG00000007350.17,6.632202435234257,-1.2312829855457859,0.20501432048196921,-6.005838922135568,1.9034509521176866e-09,4.273758668354877e-09
ENSG00000007908.16,680.8403865024119,-1.4982852745699782,0.16650947647696282,-8.99819821832946,2.2945225888278003e-19,8.576418424700238e-19
ENSG00000008311.15,785.0640825448928,-1.6776600912256225,0.09247120573031649,-18.142513423241816,1.471453081447728e-73,3.775825676312424e-72
ENSG00000008394.13,11032.973230117013,-1.171133261534365,0.12148299266548426,-9.640306316450395,5.402651689468291e-22,2.290218764566145e-21
ENSG00000009413.16,1866.2702662926106,-1.0134417927141959,0.08011522493290218,-12.649802750513029,1.1215604735092192e-36,8.823075791602706e-36
ENSG00000009694.13,92.63765192549408,-1.6799998045517444,0.180371363715373,-9.31411599904957,1.2297226745904305e-20,4.903322242496523e-20
ENSG00000009724.17,79.08442446136611,-1.2812800528656672,0.11397139945244085,-11.24211915464224,2.532294594485618e-29,1.4844756435123313e-28
ENSG00000009950.16,335.4731114669468,-3.5244092273980594,0.16499916168277481,-21.36016444843545,3.137049872548103e-101,1.6698951997612197e-99
ENSG00000010282.15,7.252630747998097,-2.7716131550869645,0.24493131338131907,-11.31587920231336,1.0949905194027851e-29,6.530448417790822e-29
ENSG00000010319.7,2244.604734914495,-2.855801581642049,0.11785454843708636,-24.231577139057517,1.034240977202648e-129,1.0564432159410524e-127
ENSG00000011465.18,45889.807232479085,-1.9905715245567608,0.12012811851718572,-16.570404574112985,1.1405582417793924e-61,1.9917233560736372e-60
ENSG00000011523.14,2175.1895655101043,-1.209810621473451,0.04707364858915971,-25.700379251079564,1.15752749841232e-145,1.5544947968526057e-143
ENSG00000012822.16,4794.8119522488205,-1.0568990540995582,0.056127683873202855,-18.830263092401633,4.266359897151186e-79,1.276819201799002e-77
ENSG00000013293.6,6.722660620668494,-2.5741829174764335,0.218951458872603,-11.756865794505726,6.510650293475961e-32,4.225852899023553e-31
ENSG00000013297.12,555.5037775155665,-2.4278984750428285,0.14071249048888068,-17.25432096758095,1.0383521134939019e-66,2.121285213482214e-65
ENSG00000016602.9,40.37806134422062,-3.270173553784026,0.2468755077054392,-13.246245381643329,4.7434734751423146e-40,4.185901743107574e-39
ENSG00000017427.17,200.5389909790329,-2.4955806325002543,0.14172091741285586,-17.609119938380207,2.0967976442224807e-69,4.693136926865478e-68
ENSG00000018625.15,874.5968201555295,-4.529886073588012,0.2102528906907898,-21.54494075541595,5.905908512581094e-103,3.289404539133588e-101
ENSG00000019144.19,4411.624964318138,-1.331629046082338,0.07184565366195049,-18.534580426367107,1.0863371911674452e-76,3.057461354204886e-75
ENSG00000019169.10,463.62866811396907,-1.5795741807032577,0.23082596423218857,-6.843139098140446,7.747635495106242e-12,2.0020652926209293e-11
ENSG00000019485.13,663.8483481443354,-1.0392103729120907,0.06577264694978745,-15.800038786723164,3.1092521304503524e-56,4.700478535039687e-55
ENSG00000019991.18,422.23403667307485,-1.005816818084632,0.11454674336180157,-8.780841677075967,1.6225581346860324e-18,5.845893777918245e-18
ENSG00000020181.18,2110.1286085452307,-1.4309658385199089,0.09403323458639096,-15.217660487954829,2.7001543320447096e-52,3.644657296355859e-51
ENSG00000020577.14,1136.7061518145222,-1.6716560138519574,0.09336514209915119,-17.904498148534977,1.0877113692961278e-71,2.6303923204843106e-70
ENSG00000021826.17,365.51046057445564,-1.0833231667663352,0.15133892193578394,-7.1582587804214075,8.170820612883382e-13,2.2287579145730773e-12
ENSG00000022267.19,9073.465608515618,-5.032098417953824,0.13955048942046797,-36.059339088321124,9.8459374004955e-285,3.721201712392985e-281
ENSG00000024422.12,7252.595031406627,-1.9547471730010495,0.08657626752198588,-22.578325780845717,7.07794855438421e-113,4.8637456351893155e-111
ENSG00000025039.15,1083.2776698826924,-1.230392578126198,0.11461727075092633,-10.734792148383573,6.987603568333795e-27,3.681084030343267e-26
ENSG00000026025.16,35198.863963273994,-1.4169577784143368,0.09053359314248242,-15.651182386899395,3.2610387589707264e-55,4.798333782387627e-54
ENSG00000031081.11,2387.311543723325,-1.1448472300232813,0.0766237753192464,-14.941148817757588,1.7788192349678357e-50,2.270161200207866e-49
ENSG00000034239.11,72.77401990378686,-2.3307874719570747,0.18870565563846256,-12.351444709333906,4.7844442868536747e-35,3.5376539422303192e-34
ENSG00000034971.17,165.55313575024812,-6.867391130739046,0.29057134657171435,-23.634096106734123,1.720221279440534e-123,1.5427177684365683e-121
ENSG00000036448.10,137.59239886296652,-2.5329207194898777,0.14360603064734828,-17.63798294592476,1.2587449827065122e-69,2.8365721688657145e-68
ENSG00000036530.9,71.50251721798315,-1.167405522234419,0.1033200434356217,-11.298925972304925,1.3283258910908983e-29,7.886487830947219e-29
ENSG00000037280.16,925.8921331548494,-1.1596250239010517,0.07935352096335255,-14.613403536770546,2.306989372819938e-48,2.732037191017202e-47
ENSG00000038295.8,338.99593570606595,-1.3161893641158708,0.13230444419591603,-9.94818709314754,2.5681894702552927e-23,1.160048158188049e-22
ENSG00000039537.14,212.41584610657515,-3.1664498011763578,0.22995572350667295,-13.769823829083656,3.8715608341713394e-43,3.8175927479998867e-42
ENSG00000041515.16,98.2927403771569,-1.6478545310361195,0.1724349577424223,-9.55638318708919,1.2194393576482246e-21,5.070966307126915e-21
ENSG00000042286.15,1523.518045775858,-1.7971293435623592,0.08422406049081407,-21.337481630422744,5.096694379804478e-101,2.7021672647716887e-99
ENSG00000042445.14,7156.513629410756,-1.6899553096851985,0.07182563367877758,-23.528581971766606,2.0802560012213196e-122,1.8163449758518558e-120
ENSG00000043591.6,107.9855518548458,-1.3711632479588618,0.2303915794133659,-5.951446886427809,2.6578227645220617e-09,5.918303093863788e-09
ENSG00000046653.15,1170.8882482092658,-1.669251257124312,0.128324277567406,-13.008070559738705,1.1008662964698018e-38,9.287155210269475e-38
ENSG00000046889.19,753.5192508684396,-2.284162752401263,0.11608733462754002,-19.676244266696937,3.446137066886607e-86,1.2557989289469985e-84
ENSG00000047648.23,281.1692409135261,-1.2784838082039551,0.10695614634336024,-11.953345851669443,6.23629735225335e-33,4.2358788896332383e-32
ENSG00000048540.15,557.6871116656125,-1.4687446547196503,0.19400261173355185,-7.570746814155584,3.7108466845762955e-14,1.0812132146161946e-13
ENSG00000048740.18,2330.4647659701104,-1.9171347069008977,0.10277091957010542,-18.654447337051604,1.1619739044361294e-77,3.348712594309612e-76
ENSG00000050165.18,3872.0597195114724,-1.2194819896360287,0.10098979990909071,-12.075298601777464,1.4264549490508652e-33,9.949457456390638e-33
ENSG00000050555.19,298.117639435006,-1.1634239573606175,0.15331060195076715,-7.58867255464974,3.231993572013752e-14,9.450223468301926e-14
ENSG00000050628.20,2610.267263974583,-1.4169726949982888,0.15756438440430215,-8.992975794342009,2.406252572434828e-19,8.976285681942443e-19
ENSG00000052850.8,236.21319115652108,-2.3217318372822175,0.1970710095186913,-11.781194214981742,4.879677347652931e-32,3.1907252572789406e-31
ENSG00000053254.16,3122.735576447556,-1.6353847703825632,0.07386479714288158,-22.14024587678932,1.2952816908186051e-108,8.277288022293966e-107
ENSG00000053328.8,26.90569077110131,-1.139865918211857,0.12658411434992387,-9.004810153830668,2.1603926793906243e-19,8.086495292297447e-19
ENSG00000053438.11,203.9099069075634,-3.515861752433879,0.16619084571826978,-21.155568089436418,2.452179255577822e-99,1.2524103163236846e-97
ENSG00000053702.15,291.9011149537944,-1.0663719208521423,0.07569546677260844,-14.087658961870954,4.52308534899134e-45,4.803803532433356e-44
ENSG00000053747.17,3854.511786626456,-1.7837653716249389,0.14911727035427538,-11.962164861166237,5.6080526266703846e-33,3.815033177968416e-32
ENSG00000054803.4,72.05100032386413,-1.547608543595311,0.1538578101625069,-10.058693425837166,8.410713633909551e-24,3.889422127227951e-23
ENSG00000055813.6,54.42974815048919,-1.9766630307815458,0.15474143358892334,-12.773973879760144,2.291497876206575e-37,1.8567800248980448e-36
ENSG00000056998.20,2241.8237755607506,-4.128782007184925,0.12876369298465562,-32.064799567972464,1.36538958256351e-225,1.5705542085347924e-222
ENSG00000057704.13,798.0999775149627,-1.0275988743407363,0.09856716022811328,-10.425367556116779,1.8992357930285085e-25,9.42882006762286e-25
ENSG00000058085.15,5027.715389423698,-1.2820932486626608,0.16243954781608386,-7.8927408128115655,2.956211574821403e-15,9.159097484889922e-15
